dęsna;dziąsło;dziąsno
dętelina;dzięcielina;
dętelьcь;;
dętelъ;dzięcioł;
di;dzi;
dikъ;dziki;
dira;;
diřa;;
diviti;dziwić;
divizna;dziewanna;
divьnъ;dziwny;
divo;dziwo;dziwo
divъ;dziw;dziw
diža;dziża;
dьbrь;debrza;debrz
dьgna;cynga;dzięgna
dьgnǫti;dziagnąć;
dьlbiti;dłubać;
dьlgota;;
dьlgъ;długi;
dьliti;;
dьlь;;
dьľьjь;;
dьněti;dnieć;
dьnь;dzień;
dьnьsь;dziś;dzińsia
dьraka;draka;
dьrati;;drać
dьrba;;
dьrbati;;
dьrcati;;
dьrča;;
dьrčati;;
dьrgati;dziergać;
dьrkati;;
dьrnǫti;dzierzgnąć;
dьrnъ;darń;
dьrpati;;
dьrpъ;;
dьrtěti;;
dьrtъ;;
dьrvьňa;derewnia;
dьrzati;;
dьrznǫti;;darznąć
dьrzъ;;
dьrzъkъ;dziarski;darski
dьržati;dzierżyć;dzierżeć
dьržava;dzierżawa;
dьžica;;
-dlo;-dło;-dło
do;do;
doba;doba;
dobь;;
dobľestь;;
dobľestьnъ;;
dobľь;;
dobrina;;
dobrota;;dobrota
dobrъ;dobry;
dobrъ dьnь;dobry dzień;dobry dzień
dobъ;;
dobyťa;zdobycz;
dojidlica;;
dojidlo;;
dojiti;doić;
dolga;;
dolina;dolina;
dolka;;
dolnь;dłoń;
dolto;dłuto;dłóto
dolъ;dół;
doľa;dola;
domasědъ;;
domъ;dom;dom
dorbъ;;
dorga;droga;
dorgъ;drogi;
dorgъnъ;;
dori;;
dorъ;;
dositi;;
dovьlěti;;
dǫbrava;dąbrowa;
dǫbъ;dąb;
dǫga;dęga;
dǫti;dąć;
drabъ;;drab
drapati;drapać;
draska;draska;
draskati;;
drazniti;drażnić;draźnić
dražiti;;
drebězgъ;;
drebъ;;
drebъxa;;
drevьnъ;drzewiej;
drěčьnъ;;
drěkъ;;
drěmati;drzemać;
drězga;drzazga;
dręzga;drzęzg;
drika;;
dripa;;
dristati;dryzdać;
drьkolь;;
droba;;
drobězgъ;drobiazg;
drobiti;drobić;
drobь;drób;
drobьnъ;drobny;
dročiti;droczyć;
droga;;
drokъ;drok;
drozdъ;drozd;drozd
droždža;drożdże;drożdża
drǫčiti;dręczyć;dręczyć
drǫgъ;drąg;
drugъ;drugi;drug
družina;drużyna;
družiti;drużyć;
družьba;drużba;
družьja;;
drъgati;drgać;
drъva;drwa;
drъvo;drwo;
drъžati;drżeć;
drъžь;dreszcz;
drybati;;
drygati;;
drynъ;;
dubati;dziobać;
dubъ;;
duma;duma;
dumati;dumać;
dunǫti;;
dupa;dupa;
dupę;;
dupina;dupina;
duplь;;
duplo;dziupło;
dupľa;dziupla;
dupl̥ce;;
dura;dziura;
duriti;durzyć;
durь;;
durьnъ;durny;
duša;dusza;
dušiti;dusić;
duti;duć;
duxati;duchać;
duxmenъ;;
duxъ;duch;
duxъna;duchna;
dužь;duży;
dъbati;dbać;
dъlgъ;dług;
dъlžьnъ;dłużny;
dъmuxati;dmuchać;
Dъněprъ;Dniepr;
dъno;Gdańsk;
dъska;deska;
dъščь;;
dъťi;córa;dca
dъťьka;;
dъva;dwa;
dъxnǫti;tchnąć;
dъxorь;tchórz;tchórz
dъxъ;dech;
dъzďь;;
dъždžь;deszcz;deżdż
dvigati;dźwigać;
dvignǫti;dźwignąć;dźwignąć
dvьrь;drzwi;dźwirze
dvorъ;dwór;
dybati;dybać;
dymъ;dym;
dyňa;dynia;
dyra;;
dyšati;dyszeć;
dyxati;dychać;
dzělo;;
dzělъ;;
edinakъ;jedynak;
edinъ;jeden;
edla;;
edlь;jodła;jedl
edlъka;jodełka;
elenь;jeleń;
emela;jemioła;jemioła
-erъ;;
esetь;jesieć;
esetrъ;jesiotr;
-estь;;
esvo-;;
eša;;
ešče;jeszcze;
-evъ;;
ezero;jezioro;jeziero
ežakъ;;
eževica;;
eževika;;
eževina;;
eževъ;jeżowy;
ežica;jeżyca;
ežika;;
ežikъ;jeżyk;
ežina;jeżyna;
ežiti;jeżyć;
-ežь;-eż;
ežь;jeż;jeż
ědivo;;jedziwo
ědlo;jadło;
ědro;;
ědъ;jad;jad
ědъkъ;jedki;
-ějь;;
-ělь;;
-ělъ;;
-ěnъ;-iany;
ěpa;;
ěrę;;
ěrina;jarzyna;
ěrьcь;jarzec;
ěsnъ;jasny;
ěsti;jeść;jeść (yescz/gescz)
ěstva;*jastew-;
-ěti;;
ěto;jato;
ězda;jazda;
ězditi;jeździć;jeździć
ězъ;jaz;
-ę;-ę;
ęčati;jęczeć;
ędlo;;
ędro;jądro;jądro
ęga;jędza;
ękati;;jąkać
ęti;jąć;
ętro;;
ętry;jątrew;jątry
ęzykъ;język;
-ga;-ga;
gabati;gabać;gabać
gadati;gadać;
gaditi;;
gadъ;gad;
gajati;;
gajь;gaj;
gajьka;;
galica;;
galiti;;galić
galǫzь;gałąź;gałąź
galъ;;
galъka;;
gasiti;gasić;
gasnь;;
gasnǫti;gasnąć;
gatati;;gatać
gatiti;gacić;
gatъka;;
gaťę;gacie;gace
gavati;;
gavědь;gawiedź;
gavęzь;;
gavornъ;gawron;
gavъkati;;
gaziti;;
gazъ;;
gladiti;gładzić;
gladъkъ;gładki;
glazikъ;głazik;głazik
glazьcь;;
glazьnъ;głaźny;
glazъ;głaz;głaz
glazъkъ;głazek;
gleznъ;glozna;glozn
glěnь;glon;glan
glěvъ;;
ględati;ględać;glądać
ględěti;ględzić;ględzieć
gliba;;
glina;glina;
glista;;
glistъ;glista;
gliva;gliwa;
glьjь;glej;
globa;;głoba
globiti;głobić;głobić
glodati;głodać;
glogъ;głóg;
glota;;
glǫbina;głębina;
glǫbokъ;głęboki;
glumiti;głumić;
glumъ;;głum
glupavъ;głupawy;
glupostь;;głupość
glupъ;głupi;głupy
glušьcь;głuszec;
gluxnǫti;głuchnąć;
gluxъ;głuchy;
glъtati;glutać;pogłytać
glъxnǫti;;okchnąć
glyba;;
gnesti;gnieść;
gnědъ;gniady;
gnětiti;niecić;namiecić
gněvъ;gniew;
gnězdo;gniazdo;
gnьsь;;
gňida;gnida;
gňilъ;gniły;
gňiti;gnić;
gnobiti;gnębić;
gnojь;gnój;
gnǫsьnъ;;
gnǫšati;;
gnusiti;;gnusić
gnusьnъ;gnuśny;
gnusъ;;gnus
gnušati;;
gobino;;
godina;godzina;
goditi;godzić;
godьnъ;godny;
godъ;god;
gogolь;gągoł;
gojiti;goić;
gojь;;
goldьnъ;głodny;głodzien
goldъ;głód;
golěmъ;golemy;
golěnь;goleń;
golěno;;
golgolati;;
golgolъ;Głogoły;
golota;hołota;
golǫbь;gołąb;
golǫbъ;gołębi;gołęby
golsъ;głos;głos
golъ;goły;goły
golva;głowa;
golvačь;głowacz;
golvьňa;głownia;
golvьnъ;główny;
golvъ;;
gomola;gomóła;
goniti;gonić;
gonъ;gon;gon
gora;góra;
gorazdъ;;gorazdy
gorditi;grodzić;
gordъ;gród;
gorďa;grodza;
gorďaninъ;grodzianin;
gorďь;grodź;
gorěti;gorzeć;
gorgorъ;;
gorьčica;gorczyca;
gorьkъ;gorzki;
gornostajь;gronostaj;
gorxъ;groch;
goře;;gorze
gořьjь;gorszy;
gospoda;gospoda;
gospodařь;gospodarz;
gospodь;gospód;
gospoďa;;gospodza
gosti;;gościa
Gostislavъ;;Gościsław
gostь;gość;
gotovъ;gotowy;
gověti;;
govędo;;
govęďь;;
govьno;gówno;
govori;;
govoriti;gaworzyć;goworzyć
